Algorithm,Class,precision,recall,f1-score
Manual LogReg Train,0,**0.9579**,0.9933571793561574,0.9752916091809858
Manual LogReg Test,0,0.9271653543307087,0.9947201689545935,0.9597554763117677
Manual LogReg Train,1,0.10344827586206896,0.017241379310344827,0.029556650246305417
Manual LogReg Test,1,0.16666666666666666,0.013333333333333334,0.024691358024691357
Scikit-learn LogReg Train,0,0.9574363992172211,**1.0000**,**0.9783**
Scikit-learn LogReg Test,0,0.9265426052889324,0.9989440337909187,0.9613821138211383
Scikit-learn LogReg Train,1,0.0,0.0,0.0
Scikit-learn LogReg Test,1,0.0,0.0,0.0
