Algorithm,Class,precision,recall,f1-score
Manual MLP Train,0,0.8499101258238466,0.9335307666995722,0.8897600752705034
Manual MLP Test,0,0.8494301139772046,0.9358889623265036,0.8905660377358491
Manual MLP Train,1,0.6946334089191232,0.478396668401874,0.5665844636251541
Manual MLP Test,1,0.7087087087087087,0.48459958932238195,0.5756097560975609
Scikit-learn MLP Train,0,**0.9840**,**0.9717**,**0.9778**
Scikit-learn MLP Test,0,0.8570496083550914,0.8678122934567085,0.8623973727422003
Scikit-learn MLP Train,1,0.9138708062093139,0.9500260281103592,0.9315977539561
Scikit-learn MLP Test,1,0.5726495726495726,0.5503080082135524,0.5612565445026177
