Algorithm,Class,precision,recall,f1-score
Manual LogReg Train,0,**0.9582**,0.9841594276954522,0.9710108394252583
Manual LogReg Test,0,0.9282153539381854,0.9831045406546991,0.9548717948717949
Manual LogReg Train,1,0.08823529411764706,0.034482758620689655,0.049586776859504134
Manual LogReg Test,1,0.15789473684210525,0.04,0.06382978723404255
Scikit-learn LogReg Train,0,0.9574155653450808,0.9994890137966275,**0.9780**
Scikit-learn LogReg Test,0,0.9266144814090019,**1.0000**,0.9619095987811072
Scikit-learn LogReg Train,1,0.0,0.0,0.0
Scikit-learn LogReg Test,1,0.0,0.0,0.0
