Algorithm,Class,precision,recall,f1-score
Manual LogReg Train,0,0.855499527261267,0.8932214544257979,0.8739536381197682
Manual LogReg Test,0,0.8511569731081926,0.8995373430270985,0.8746786632390745
Manual LogReg Train,1,0.6073805202661827,0.5226444560124935,0.5618354784555121
Manual LogReg Test,1,0.6209476309226932,0.5112936344969199,0.5608108108108109
Scikit-learn LogReg Train,0,**0.8674**,**0.9260**,**0.8958**
Scikit-learn LogReg Test,0,0.8625154130702836,0.9246530072703238,0.8925039872408294
Scikit-learn LogReg Train,1,0.7021839841164792,0.5523165018219677,0.6182983682983683
Scikit-learn LogReg Test,1,0.6984126984126984,0.5420944558521561,0.6104046242774567
