Algorithm,Class,precision,recall,f1-score
Manual MLP Train,0,0.8604370761115298,0.93928923988154,0.8981357665381893
Manual MLP Test,0,**0.8571**,**0.9359**,**0.8948**
Manual MLP Train,1,0.7294721407624634,0.5179593961478397,0.6057838660578386
Manual MLP Test,1,**0.7213**,0.5154004106776181,**0.6012**
Scikit-learn MLP Train,0,**0.9840**,**0.9717**,**0.9778**
Scikit-learn MLP Test,0,0.8570496083550914,0.8678122934567085,0.8623973727422003
Scikit-learn MLP Train,1,**0.9139**,**0.9500**,**0.9316**
Scikit-learn MLP Test,1,0.5726495726495726,**0.5503**,0.5612565445026177
