Algorithm,Class,precision,recall,f1-score
Manual MLP Train,0,0.9576395690499511,0.9992335206949412,0.9779944986246562
Manual MLP Test,0,0.9266144814090019,**1.0000**,0.9619095987811072
Manual MLP Train,1,0.25,0.005747126436781609,0.011235955056179775
Manual MLP Test,1,0.0,0.0,0.0
Scikit-learn MLP Train,0,0.9959287531806615,1.0,**0.9980**
Scikit-learn MLP Test,0,0.9292123629112662,0.9841605068637803,0.9558974358974359
Scikit-learn MLP Train,1,**1.0000**,0.9080459770114943,0.9518072289156626
Scikit-learn MLP Test,1,0.21052631578947367,0.05333333333333334,0.0851063829787234
