Algorithm,Class,precision,recall,f1-score
Manual MLP Train,0,0.8607594936708861,0.9285949325435998,0.8933913731697665
Manual MLP Test,0,**0.8621**,**0.9299**,**0.8948**
Manual MLP Train,1,0.6990291262135923,0.5247267048412285,0.5994647636039251
Manual MLP Test,1,**0.7120**,0.5379876796714579,**0.6129**
Scikit-learn MLP Train,0,**0.9840**,**0.9717**,**0.9778**
Scikit-learn MLP Test,0,0.8570496083550914,0.8678122934567085,0.8623973727422003
Scikit-learn MLP Train,1,**0.9139**,**0.9500**,**0.9316**
Scikit-learn MLP Test,1,0.5726495726495726,**0.5503**,0.5612565445026177
